Date,Ticker,Open,High,Low,Close
01/03/2000,_SPXD,1477.87,1478,1438.36,1455.22
01/04/2000,_SPXD,1446.4301,1455.22,1397.4301,1399.42
01/05/2000,_SPXD,1395.0699,1413.27,1377.6801,1402.11
01/06/2000,_SPXD,1398.5,1411.9,1392.02,1403.45
01/07/2000,_SPXD,1401.03,1441.47,1400.53,1441.47
01/10/2000,_SPXD,1450.9301,1464.36,1441.47,1457.6
01/11/2000,_SPXD,1455.91,1458.85,1434.42,1438.5601
01/12/2000,_SPXD,1439.0699,1445.29,1427.3199,1432.25
01/13/2000,_SPXD,1435.97,1454.6,1432.25,1449.6801
01/14/2000,_SPXD,1457.04,1473,1449.6801,1465.15
01/18/2000,_SPXD,1463.62,1465.15,1451.25,1455.14
01/19/2000,_SPXD,1451.9301,1462.23,1448.65,1455.9
01/20/2000,_SPXD,1459.1801,1465.5601,1438.5601,1445.5699
01/21/2000,_SPXD,1449.36,1452.75,1439.54,1441.36
01/24/2000,_SPXD,1444.4301,1454.25,1395.42,1401.53
01/25/2000,_SPXD,1402.89,1414.26,1388.49,1410.03
01/26/2000,_SPXD,1406.86,1412.53,1400.14,1404.09
01/27/2000,_SPXD,1407.71,1418.95,1380.54,1398.5601
01/28/2000,_SPXD,1398.26,1398.5601,1356.14,1360.16
01/31/2000,_SPXD,1359.9,1394.5,1350.05,1394.46
02/01/2000,_SPXD,1395.5601,1412.59,1384.75,1409.28
02/02/2000,_SPXD,1408.63,1420.53,1403.2,1409.12
02/03/2000,_SPXD,1412.84,1425.78,1398.52,1424.97
02/04/2000,_SPXD,1427.49,1436.01,1420.53,1424.37
02/07/2000,_SPXD,1423.78,1427.23,1413.33,1424.24
02/08/2000,_SPXD,1427.05,1442.02,1424.24,1441.72
02/09/2000,_SPXD,1443.29,1444.38,1411.64,1411.7
02/10/2000,_SPXD,1413.76,1422.01,1406.37,1416.83
02/11/2000,_SPXD,1415.16,1416.83,1379.15,1387.12
02/14/2000,_SPXD,1389.92,1394.9301,1380.53,1389.9399
02/15/2000,_SPXD,1389.64,1407.8101,1376.21,1402.05
02/16/2000,_SPXD,1401.98,1404.72,1385.58,1387.67
02/17/2000,_SPXD,1394.6899,1399.83,1380.0699,1388.26
02/18/2000,_SPXD,1388.04,1388.26,1345.29,1346.09
02/22/2000,_SPXD,1347.37,1358.11,1331.97,1352.17
02/23/2000,_SPXD,1352.9,1370.12,1342.42,1360.6899
02/24/2000,_SPXD,1361.36,1364.49,1329.9,1353.4301
02/25/2000,_SPXD,1352.86,1362.12,1329.12,1333.36
02/28/2000,_SPXD,1331.14,1360.8199,1325.02,1348.05
02/29/2000,_SPXD,1353,1369.51,1348.05,1366.42
03/01/2000,_SPXD,1366.36,1383,1366.42,1379.1899
03/02/2000,_SPXD,1380.59,1386.91,1370.3199,1381.76
03/03/2000,_SPXD,1387.09,1410.88,1381.76,1409.17
03/06/2000,_SPXD,1409.0699,1409.8101,1384.79,1391.28
03/07/2000,_SPXD,1397.27,1399.5699,1349.6,1355.62
03/08/2000,_SPXD,1359.6899,1373.59,1346.5,1366.7
03/09/2000,_SPXD,1366.42,1401.8199,1357.85,1401.6899
03/10/2000,_SPXD,1401.6,1413.46,1392.0699,1395.0699
03/13/2000,_SPXD,1387.08,1398.45,1365.3101,1383.62
03/14/2000,_SPXD,1388.88,1395.33,1359.14,1359.15
03/15/2000,_SPXD,1364.09,1397.99,1356.99,1392.15
03/16/2000,_SPXD,1396.4399,1458.47,1392.15,1458.47
03/17/2000,_SPXD,1457.4,1476.64,1453.2,1464.47
03/20/2000,_SPXD,1462.3199,1470.23,1448.4301,1456.63
03/21/2000,_SPXD,1456.63,1493.9301,1446.04,1493.87
03/22/2000,_SPXD,1495.39,1505.04,1487.4,1500.64
03/23/2000,_SPXD,1501.09,1532.13,1493.76,1527.35
03/24/2000,_SPXD,1529.77,1553.11,1516.85,1527.46
03/27/2000,_SPXD,1529.1801,1534.66,1518.62,1523.86
03/28/2000,_SPXD,1521.08,1527.2,1507.2,1507.73
03/29/2000,_SPXD,1509.15,1521.36,1497.3199,1508.52
03/30/2000,_SPXD,1501.65,1517.4301,1474.63,1487.92
03/31/2000,_SPXD,1494.41,1519.8101,1484.38,1498.58
04/03/2000,_SPXD,1490.23,1507.08,1487.09,1505.97
04/04/2000,_SPXD,1510.05,1526.22,1417.22,1494.73
04/05/2000,_SPXD,1490.02,1506.55,1478.0601,1487.37
04/06/2000,_SPXD,1491.96,1511.76,1487.37,1501.34
04/07/2000,_SPXD,1506.27,1518.6801,1501.34,1516.35
04/10/2000,_SPXD,1517.16,1527.11,1503.02,1504.46
04/11/2000,_SPXD,1499.05,1512.8,1486.78,1500.59
04/12/2000,_SPXD,1498.99,1510.59,1466.15,1467.17
04/13/2000,_SPXD,1472.14,1477.36,1440.34,1440.51
04/14/2000,_SPXD,1436.47,1440.51,1339.4,1356.5601
04/17/2000,_SPXD,1352.85,1401.48,1346.6801,1401.4399
04/18/2000,_SPXD,1405.74,1441.61,1397.61,1441.61
04/19/2000,_SPXD,1442.4,1447.6899,1425.26,1427.47
04/20/2000,_SPXD,1427.63,1435.4301,1421.98,1434.54
04/24/2000,_SPXD,1416.16,1434.54,1407.15,1429.86
04/25/2000,_SPXD,1438.4301,1477.67,1429.86,1477.4399
04/26/2000,_SPXD,1477.38,1482.8101,1457.27,1460.99
04/27/2000,_SPXD,1452.21,1469.21,1434.8101,1464.92
04/28/2000,_SPXD,1467.17,1473.42,1448.48,1452.4301
05/01/2000,_SPXD,1457.14,1481.4301,1452.4301,1468.25
05/02/2000,_SPXD,1465.77,1468.25,1445.14,1446.29
05/03/2000,_SPXD,1444.2,1446.29,1398.36,1415.1
05/04/2000,_SPXD,1414.9301,1420.51,1404.98,1409.5699
05/05/2000,_SPXD,1408.46,1436.03,1405.08,1432.63
05/08/2000,_SPXD,1426.52,1432.63,1417.05,1424.17
05/09/2000,_SPXD,1426.64,1429.8101,1401.86,1412.14
05/10/2000,_SPXD,1406.9,1412.14,1375.21,1383.05
05/11/2000,_SPXD,1402.9,1410.25,1383.05,1407.8101
05/12/2000,_SPXD,1411.5,1430.2,1407.8101,1420.96
05/15/2000,_SPXD,1420.86,1452.38,1417.05,1452.36
05/16/2000,_SPXD,1456.3101,1470.4,1450.76,1466.04
05/17/2000,_SPXD,1461.21,1466.04,1441.63,1447.8
05/18/2000,_SPXD,1448.03,1457.96,1436.65,1437.21
05/19/2000,_SPXD,1431.2,1437.21,1401.74,1406.95
05/22/2000,_SPXD,1406.87,1410.3199,1368.62,1400.72
05/23/2000,_SPXD,1399.45,1403.77,1373.4301,1373.86
05/24/2000,_SPXD,1371.62,1401.41,1361.2,1399.05
05/25/2000,_SPXD,1401.12,1411.89,1373.99,1381.52
05/26/2000,_SPXD,1382.42,1391.55,1369.8,1378.02
05/30/2000,_SPXD,1384.0601,1422.45,1377.8,1422.45
05/31/2000,_SPXD,1420.23,1434.5601,1415.39,1420.6
06/01/2000,_SPXD,1426.79,1448.8101,1420.6,1448.8101
06/02/2000,_SPXD,1458.87,1483.23,1448.8101,1477.26
06/05/2000,_SPXD,1477.26,1477.26,1464.67,1467.63
06/06/2000,_SPXD,1466.84,1471.3199,1454.78,1457.84
06/07/2000,_SPXD,1458.6899,1474.5699,1455.22,1471.36
06/08/2000,_SPXD,1474.15,1475.64,1456.47,1461.67
06/09/2000,_SPXD,1466.59,1472.66,1454.88,1456.95
06/12/2000,_SPXD,1457.91,1463.01,1445.99,1446
06/13/2000,_SPXD,1445.76,1470.36,1442.49,1469.4399
06/14/2000,_SPXD,1470.9,1483.58,1467.84,1470.54
06/15/2000,_SPXD,1471.16,1482.02,1464.46,1478.73
06/16/2000,_SPXD,1474.88,1480.95,1460.33,1464.46
06/19/2000,_SPXD,1463.89,1488.98,1459,1486
06/20/2000,_SPXD,1486.22,1487.22,1470.23,1475.95
06/21/2000,_SPXD,1469.75,1482.24,1468.49,1479.13
06/22/2000,_SPXD,1477.79,1479.13,1448.0601,1452.1801
06/23/2000,_SPXD,1452.88,1459.8199,1438.35,1441.48
06/26/2000,_SPXD,1444.3199,1462.34,1441.48,1455.3101
06/27/2000,_SPXD,1455.14,1463.35,1450.55,1450.55
06/28/2000,_SPXD,1452.16,1467.63,1450.55,1454.8199
06/29/2000,_SPXD,1451.61,1455.17,1434.64,1442.39
06/30/2000,_SPXD,1441.27,1454.6899,1438.79,1454.6
07/03/2000,_SPXD,1452.36,1469.58,1450.85,1469.3199
07/05/2000,_SPXD,1464.51,1469.54,1442.45,1446.23
07/06/2000,_SPXD,1446.41,1461.65,1439.5601,1456.67
07/07/2000,_SPXD,1458.2,1485.15,1456.67,1478.9
07/10/2000,_SPXD,1475.48,1486.5,1474.73,1475.62
07/11/2000,_SPXD,1474.2,1488.88,1470.47,1480.88
07/12/2000,_SPXD,1486.1,1497.48,1480.88,1492.92
07/13/2000,_SPXD,1493.15,1501.39,1489.65,1495.84
07/14/2000,_SPXD,1499.34,1509.98,1494.67,1509.98
07/17/2000,_SPXD,1508.78,1517.24,1505.33,1510.49
07/18/2000,_SPXD,1506.9399,1510.49,1491.41,1493.74
07/19/2000,_SPXD,1492.09,1495.55,1479.76,1481.96
07/20/2000,_SPXD,1483.8,1501.88,1481.96,1495.5699
07/21/2000,_SPXD,1493.97,1495.5699,1477.95,1480.1899
07/24/2000,_SPXD,1480.97,1485.85,1463.8101,1464.29
07/25/2000,_SPXD,1467.22,1476.26,1464.29,1474.47
07/26/2000,_SPXD,1471.34,1474.47,1452.42,1452.42
07/27/2000,_SPXD,1448.9,1464.75,1445.3,1449.62
07/28/2000,_SPXD,1450.74,1456.35,1414.16,1419.89
07/31/2000,_SPXD,1421.9301,1437.63,1418.26,1430.83
08/01/2000,_SPXD,1430.37,1443.54,1428.96,1438.1
08/02/2000,_SPXD,1438.3,1451.58,1433.54,1438.7
08/03/2000,_SPXD,1432.58,1454.35,1426.05,1452.5601
08/04/2000,_SPXD,1456.22,1462.9301,1451.46,1462.9301
08/07/2000,_SPXD,1463.95,1480.8,1460.72,1479.3199
08/08/2000,_SPXD,1477.98,1484.52,1472.61,1482.8
08/09/2000,_SPXD,1488.36,1490.33,1471.16,1472.87
08/10/2000,_SPXD,1471.34,1475.15,1459.89,1460.25
08/11/2000,_SPXD,1458.83,1475.72,1453.0601,1471.84
08/14/2000,_SPXD,1472.61,1491.64,1468.5601,1491.5601
08/15/2000,_SPXD,1490.53,1493.04,1482.85,1484.4301
08/16/2000,_SPXD,1486.08,1494.73,1475.8101,1479.85
08/17/2000,_SPXD,1480.1801,1499.46,1479.85,1496.0699
08/18/2000,_SPXD,1497.2,1499.47,1488.99,1491.72
08/21/2000,_SPXD,1497.9301,1502.95,1491.12,1499.48
08/22/2000,_SPXD,1500.46,1508.1801,1497.5601,1498.13
08/23/2000,_SPXD,1495.99,1507.3,1489.39,1505.97
08/24/2000,_SPXD,1505.9399,1511.16,1501.3,1508.3101
08/25/2000,_SPXD,1507.67,1513.41,1505.16,1506.45
08/28/2000,_SPXD,1507.05,1523.88,1506.46,1514.09
08/29/2000,_SPXD,1514.01,1514.8101,1505.46,1509.84
08/30/2000,_SPXD,1509.58,1510.4399,1500.08,1502.59
08/31/2000,_SPXD,1504.65,1525.3,1502.59,1517.6801
09/01/2000,_SPXD,1520.79,1530.09,1515.53,1520.77
09/05/2000,_SPXD,1515.98,1520.77,1503.75,1507.08
09/06/2000,_SPXD,1505.99,1512.37,1492.1899,1492.25
09/07/2000,_SPXD,1495.33,1505.34,1492.25,1502.51
09/08/2000,_SPXD,1501.05,1502.51,1489.88,1494.64
09/11/2000,_SPXD,1493.23,1506.59,1483.03,1489.26
09/12/2000,_SPXD,1491.1,1496.6,1479.9301,1481.99
09/13/2000,_SPXD,1475.77,1487.36,1474.03,1484.91
09/14/2000,_SPXD,1491.4,1494.27,1476.77,1480.87
09/15/2000,_SPXD,1480.02,1480.96,1460.22,1465.8101
09/18/2000,_SPXD,1465.67,1467.88,1441.76,1444.51
09/19/2000,_SPXD,1448.63,1461.05,1444.51,1459.9
09/20/2000,_SPXD,1459.36,1460.49,1430.95,1451.34
09/21/2000,_SPXD,1447.67,1452.77,1436.3,1449.05
09/22/2000,_SPXD,1425.79,1449.41,1421.88,1448.72
